Time (s),Epoch,Train Loss
11.091559171676636,1,0.1658052
22.178736209869385,2,0.07226361
33.2558012008667,3,0.06209021
44.362728118896484,4,0.057064038
55.47486615180969,5,0.05299815
66.65186214447021,6,0.051912695
77.84564900398254,7,0.049202174
89.0824761390686,8,0.048258997
100.32187414169312,9,0.047892842
111.61429715156555,10,0.0465212
156.11007118225098,11,0.045448337
167.45283317565918,12,0.04380716
178.82625913619995,13,0.045352474
190.2073130607605,14,0.042726092
201.58285903930664,15,0.042446006
212.96845316886902,16,0.041789696
224.36915016174316,17,0.041473083
235.77746200561523,18,0.040717546
247.1940951347351,19,0.040890288
258.6166181564331,20,0.040028647
302.75860714912415,21,0.040145043
314.1530292034149,22,0.040377345
325.5626530647278,23,0.040001534
336.99126410484314,24,0.039484568
348.3972041606903,25,0.038115215
359.8068070411682,26,0.038625173
371.20927000045776,27,0.037391216
382.6070702075958,28,0.037738778
394.0223400592804,29,0.037993185
405.45564818382263,30,0.03718902
449.76273703575134,31,0.037147112
461.185182094574,32,0.03759372
472.6579740047455,33,0.03861955
484.11068320274353,34,0.037021946
495.5635712146759,35,0.036505762
506.99724221229553,36,0.0369775
518.4406020641327,37,0.035967823
529.889965057373,38,0.037032854
541.3308460712433,39,0.036622953
552.7812330722809,40,0.035900686
597.1665790081024,41,0.036512047
608.5701761245728,42,0.037229016
620.0093891620636,43,0.035425104
631.4703052043915,44,0.035916306
642.9351131916046,45,0.03512033
654.3677520751953,46,0.035865538
665.8098850250244,47,0.036275405
677.2511110305786,48,0.03558305
688.698340177536,49,0.035230257
700.1650030612946,50,0.036036763
744.5057439804077,51,0.035229567
755.9693460464478,52,0.03574303
767.4245541095734,53,0.036097914
778.875195980072,54,0.03489429
790.3564782142639,55,0.034469087
801.8341410160065,56,0.036037147
813.2882790565491,57,0.034799054
824.7438461780548,58,0.03386636
836.2023251056671,59,0.034716886
847.6628770828247,60,0.034887437
892.036169052124,61,0.035577297
903.487407207489,62,0.035163637
914.9641411304474,63,0.034573346
926.4108610153198,64,0.035132643
937.8544471263885,65,0.034547262
949.2886412143707,66,0.034951817
960.7394490242004,67,0.03429891
972.2184879779816,68,0.034280434
983.7149021625519,69,0.03418145
995.3334090709686,70,0.034471404
1039.9237670898438,71,0.034047224
1051.3680171966553,72,0.034919936
1062.8474700450897,73,0.033490803
1074.3292760849,74,0.034770805
1085.8113400936127,75,0.0343856
1097.2627761363983,76,0.03461345
1108.6862699985504,77,0.0341581
1120.1526110172272,78,0.03401915
1131.6136860847473,79,0.03467257
1143.0487370491028,80,0.033994228
1187.3955051898956,81,0.034713887
1198.8141050338745,82,0.033126585
1210.2315900325775,83,0.032893945
1221.6886060237885,84,0.033695478
1233.1277360916138,85,0.034292676
1244.5867080688477,86,0.03306523
1256.0070061683655,87,0.033975225
1267.540776014328,88,0.03352139
1278.959186077118,89,0.03385556
1290.3923170566559,90,0.034722418
1334.777039051056,91,0.033122707
1346.1899540424347,92,0.034065202
1357.6301460266113,93,0.033395156
1369.1143391132355,94,0.033953663
1380.5796210765839,95,0.034081306
1392.0266301631927,96,0.032575607
1403.4902610778809,97,0.033468295
1415.0061490535736,98,0.033563994
1426.5982429981232,99,0.033680122
1438.0844349861145,100,0.03424382
