n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.022577143,NaN,2.175569534301758e-6,45,0.0
20,0.023090516,NaN,2.175569534301758e-6,45,0.0
30,0.023346141,NaN,2.175569534301758e-6,45,0.0
40,0.023011093,NaN,2.175569534301758e-6,45,0.0
50,0.023381992,NaN,2.175569534301758e-6,45,0.0
