n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.004388033,NaN,2.175569534301758e-6,45,0.0
20,0.004169775,NaN,2.175569534301758e-6,45,0.0
30,0.004100388,NaN,2.175569534301758e-6,45,0.0
40,0.004229407,NaN,2.175569534301758e-6,45,0.0
50,0.00445817,NaN,2.175569534301758e-6,45,0.0
