n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.002378376,8.009526709435874e-5,1.5944242477416992e-6,24,0.0
20,0.002453738,3.2180677344228375e-5,1.5944242477416992e-6,24,0.0
30,0.002319674,5.563605685464538e-5,1.5944242477416992e-6,24,0.0
40,0.002336305,5.617349144391863e-5,1.5944242477416992e-6,24,0.0
50,0.002299564,4.50037623760503e-5,1.5944242477416992e-6,24,0.0
