latent_dim,time_mean,time_std,memory_estimate,allocations,gc_percent
21,0.023815098,0.00010718607431938162,1.6093254089355469e-6,49,0.0
41,0.023950502,3.841711142186513e-5,1.6093254089355469e-6,49,0.0
61,0.02385576,2.151725935150664e-5,1.6093254089355469e-6,49,0.0
81,0.024042595,3.1302910096347276e-5,1.6093254089355469e-6,49,0.0
101,0.024041565,3.587223411637474e-5,1.6093254089355469e-6,49,0.0
