latent_dim,time_mean,time_std,memory_estimate,allocations,gc_percent
21,0.002838099,1.995822028430057e-5,1.341104507446289e-6,30,0.0
41,0.002919131,3.6891335517299995e-5,1.341104507446289e-6,30,0.0
61,0.002943402,3.232562981082761e-5,1.341104507446289e-6,30,0.0
81,0.002942411,5.9650271910528625e-5,1.341104507446289e-6,30,0.0
101,0.00296744,2.7353779001568808e-5,1.341104507446289e-6,30,0.0
