n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.009394433,NaN,1.4156103134155273e-6,32,0.0
20,0.029744218,NaN,1.4156103134155273e-6,32,0.0
30,0.064612743,NaN,1.4156103134155273e-6,32,0.0
40,0.086833414,NaN,1.4156103134155273e-6,32,0.0
50,0.092968073,NaN,1.4156103134155273e-6,32,0.0
