Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
2.9847869873046875,0,2.0168607,0.037844423204660416,1
509.31081104278564,1,369.0622,0.04558032564818859,1
1016.7794439792633,2,267.7547,0.045212386175990105,1
1524.1564490795135,3,262.40802,0.04710928909480572,1
2030.3901541233063,4,259.2866,0.047305621206760406,0
2538.1175351142883,5,257.13083,0.04909932054579258,1
3044.3936359882355,6,253.99562,0.04649316146969795,0
3550.5822761058807,7,252.32417,0.05161069706082344,0
4056.6840670108795,8,250.4419,0.053850654512643814,0
4562.419000148773,9,249.1234,0.04958959482610226,0
5068.383176088333,10,248.63263,0.04290935397148132,0
5574.754296064377,11,247.50793,0.04952644184231758,0
6080.523705005646,12,246.39717,0.051377084106206894,0
6586.394552946091,13,245.20213,0.050645092502236366,0
7093.055077075958,14,244.69115,0.047081951051950455,1
7598.768748998642,15,244.86348,0.04600423388183117,0
8104.217590093613,16,244.36406,0.0501526091247797,0
8610.12906908989,17,244.00041,0.04683510772883892,0
9115.850689172745,18,243.04868,0.04635528661310673,0
9621.46463894844,19,243.16064,0.046054648235440254,0
10126.867958068848,20,241.59224,0.04768715612590313,0
10632.511183023453,21,242.94125,0.04377037473022938,0
11137.870182037354,22,242.06667,0.043715961277484894,0
11643.433053016663,23,241.30211,0.046892138198018074,0
12149.134199142456,24,242.0053,0.04521614871919155,0
12654.945667982101,25,240.83574,0.05179011821746826,0
13160.57552599907,26,240.768,0.053086867555975914,0
13666.294823169708,27,240.70796,0.05247979983687401,0
14172.137112140656,28,240.94717,0.05241077393293381,0
14677.704169988632,29,241.10814,0.04601226560771465,0
15183.52731013298,30,240.95842,0.05227971263229847,0
15688.93161702156,31,240.4608,0.05015723221004009,0
16194.685212135315,32,240.2099,0.05362849682569504,0
16700.15521812439,33,239.562,0.04772389680147171,0
17205.616107940674,34,239.32466,0.04803413152694702,0
17710.78362417221,35,240.51596,0.04763284511864185,0
18216.105720043182,36,239.00218,0.047597894445061684,0
18721.249019145966,37,238.49992,0.040778232738375664,0
19226.76855802536,38,238.40994,0.0454173032194376,0
19731.831596136093,39,238.1345,0.04753140173852444,0
20237.146631002426,40,237.61061,0.04606928862631321,0
20742.523420095444,41,237.09868,0.0435582660138607,0
21247.82806611061,42,236.40793,0.045277826488018036,0
21753.27078294754,43,235.36322,0.04816542752087116,0
22258.51938199997,44,234.66943,0.04775182157754898,0
22763.83335208893,45,234.66867,0.03836196009069681,0
23269.270776987076,46,233.99629,0.04218676500022411,0
23774.63490509987,47,232.41028,0.04853725805878639,0
24279.93599009514,48,232.27072,0.051714878529310226,0
24784.785938978195,49,231.51547,0.04754805564880371,0
25289.378404140472,50,230.95064,0.04905599541962147,0
25794.141289949417,51,229.3406,0.047437071800231934,0
26299.286632061005,52,229.05049,0.04508611373603344,0
26804.31409215927,53,227.394,0.04700545780360699,0
27309.516203165054,54,226.90952,0.04445740208029747,0
27814.64098906517,55,225.99796,0.043755657970905304,0
28319.908202171326,56,224.43779,0.047445273026824,0
28825.160231113434,57,223.13295,0.04857068695127964,0
29330.407132148743,58,222.25064,0.04593529924750328,0
29835.39053916931,59,221.6903,0.04701983369886875,0
30340.669166088104,60,219.74861,0.047397470101714134,0
30845.77576994896,61,218.95992,0.043434735387563705,0
31350.59371805191,62,216.9085,0.04506584629416466,0
31855.60871911049,63,215.50844,0.04902169480919838,0
32360.79581308365,64,212.95691,0.043210326693952084,0
32865.48055100441,65,211.40504,0.04778267629444599,0
33370.56263399124,66,207.41534,0.048043813556432724,0
33875.49283695221,67,204.43945,0.043815283104777336,0
34380.77082204819,68,199.9308,0.045272255316376686,0
34889.901368141174,69,195.35,0.0451375562697649,0
35396.21645498276,70,190.2396,0.04652929864823818,0
35901.69560408592,71,183.86237,0.048506999388337135,0
36407.12982916832,72,177.08704,0.04982916824519634,0
36912.342849969864,73,169.56395,0.04523212090134621,0
37417.44940114021,74,161.35002,0.0473007932305336,0
37923.150481939316,75,152.01968,0.04347005672752857,0
38428.80588197708,76,142.6492,0.0496168602257967,0
38934.23688912392,77,132.82576,0.04663304425776005,0
39439.9719350338,78,123.475975,0.04384586401283741,0
39945.6156129837,79,110.47128,0.04491138644516468,0
40451.05462217331,80,97.73853,0.04742871969938278,0
40956.819214105606,81,83.848564,0.052103353664278984,0
41462.28549313545,82,70.561066,0.047528207302093506,0
41969.02562594414,83,51.8689,0.04957404360175133,0
42475.522282123566,84,36.30238,0.050460709258913994,0
42981.409250974655,85,16.896223,0.04905752092599869,0
43486.71626806259,86,-1.7115195,0.04523084778338671,0
43992.90563797951,87,-20.565947,0.04827014543116093,0
44498.651880025864,88,-44.019897,0.05252555012702942,0
45003.82917404175,89,-64.06097,0.04931376688182354,0
45509.29070901871,90,-88.680084,0.05059601925313473,0
46015.191568136215,91,-112.22723,0.048137541860342026,0
46520.67362499237,92,-136.88043,0.04417295567691326,0
47026.14257502556,93,-161.96204,0.05218473821878433,0
47531.69424700737,94,-186.82123,0.046862008050084114,0
48037.311198949814,95,-214.43542,0.0449345950037241,0
48542.52037405968,96,-242.39742,0.055287063121795654,0
49048.04097700119,97,-271.25168,0.05013282597064972,0
49553.33682894707,98,-297.63577,0.04860327206552029,0
50058.65303897858,99,-326.7841,0.05000423081219196,0
50563.929851055145,100,-356.28238,0.047166431322693825,0
