Time (s),Epoch,Train Loss
32.151283979415894,1,-1.722191
64.00488710403442,2,-0.9833244
95.77504515647888,3,-0.6797688
127.51460218429565,4,-0.50030524
159.267254114151,5,-0.31507647
191.02288103103638,6,-0.30244857
222.77631306648254,7,-0.12610053
254.52139902114868,8,-0.24641928
286.28178906440735,9,-0.26311946
318.03788018226624,10,-0.1620079
350.77957797050476,11,-0.30230626
382.55616998672485,12,-0.41724747
414.3875231742859,13,-0.39260864
446.1726269721985,14,-0.2556966
477.9422450065613,15,-0.43962753
509.6878571510315,16,-0.421086
541.4436180591583,17,-0.34189188
573.2290439605713,18,-0.42063323
605.023875951767,19,-0.22165042
636.7861831188202,20,-0.6212805
668.5759899616241,21,-0.23542145
700.3478410243988,22,-0.513426
732.1281471252441,23,-0.50769883
763.9351711273193,24,-0.47441417
795.7317290306091,25,-0.47932452
827.4829561710358,26,-0.4484012
859.2147359848022,27,-0.34279323
890.9756550788879,28,-0.6060101
922.663416147232,29,-0.514001
954.4358251094818,30,-0.50225866
986.2478630542755,31,-0.47610041
1018.0406041145325,32,-0.49460384
1049.7683370113373,33,-0.56644225
1081.5466430187225,34,-0.513644
1113.302276134491,35,-0.573304
1145.0837581157684,36,-0.5131654
1176.865313053131,37,-0.27702573
1208.6297001838684,38,-0.60691535
1240.3778550624847,39,-0.5564995
1272.1085331439972,40,-0.5169508
1303.8208751678467,41,-0.30194402
1335.559569120407,42,-0.6830434
1367.2700929641724,43,-0.5516526
1399.0039401054382,44,-0.64696556
1430.7068569660187,45,-0.56330293
1462.440476179123,46,-0.46642226
1494.2040770053864,47,-1.0022076
1525.9709420204163,48,-0.5919108
1557.7346091270447,49,-0.54930955
1589.518805027008,50,-0.5075688
1621.326956987381,51,-0.5618896
1653.11727809906,52,-0.7446279
1684.8341331481934,53,-0.53597534
1716.5314180850983,54,-0.72906965
1748.2959020137787,55,-0.7389622
1780.0249099731445,56,-0.7780982
1811.7967751026154,57,-0.5867171
1843.5704250335693,58,-0.64083993
1875.3392519950867,59,-0.6776335
1907.107318162918,60,-0.5877562
1938.8694100379944,61,-0.51972675
1970.5904569625854,62,-0.78108597
2002.3108801841736,63,-0.74664026
2034.012267112732,64,-0.59814054
2065.707899093628,65,-0.9181473
2097.426270008087,66,-0.7452034
2129.1192829608917,67,-0.9513723
2160.8344740867615,68,-0.73386574
2192.5157101154327,69,-1.0518986
2224.200790166855,70,-0.59270555
2255.988825082779,71,-0.84137106
2287.7283551692963,72,-0.90240204
2319.476716041565,73,-0.72134537
2351.217400074005,74,-0.8834691
2383.0180020332336,75,-0.9119126
2414.7945880889893,76,-0.7736317
2446.5736770629883,77,-0.7956003
2478.344108104706,78,-1.0093586
2510.138520002365,79,-0.8864228
2541.8804609775543,80,-0.80240786
2573.635957956314,81,-0.89227766
2605.3849120140076,82,-1.2687327
2637.1453890800476,83,-0.7657955
2668.9201860427856,84,-0.9611418
2700.6828701496124,85,-1.08223
2732.466875076294,86,-1.3318044
2764.258308172226,87,-1.2662746
2796.004317045212,88,-1.1918992
2827.7315261363983,89,-1.1704109
2859.475119113922,90,-1.149944
2891.2330181598663,91,-1.3157268
2923.060709953308,92,-1.470701
2954.842229127884,93,-1.440931
2986.6007871627808,94,-1.7126502
3018.3583340644836,95,-2.1722944
3050.1275260448456,96,-2.93738
3081.900027036667,97,-13.750362
3113.6145260334015,98,-593.20276
3145.3246619701385,99,-4881.335
3177.0687589645386,100,-24800.562
