Time (s),Epoch,Train Loss
40.41736698150635,1,-0.0004726501
81.4016420841217,2,-0.03438262
122.82807397842407,3,-0.07386395
164.46954607963562,4,-0.12044548
206.12186694145203,5,-0.15533134
247.78243112564087,6,-0.19978872
289.49460005760193,7,-0.24351929
331.13682413101196,8,-0.25085723
372.768923997879,9,-0.26112324
414.53106808662415,10,-0.23516248
457.0194890499115,11,-0.25215665
498.7170660495758,12,-0.24067979
540.4172561168671,13,-0.27236542
582.1749730110168,14,-0.26180938
623.9050250053406,15,-0.28411883
665.5763599872589,16,-0.30535713
707.245038986206,17,-0.26713127
748.8954360485077,18,-0.31272817
790.5418479442596,19,-0.29989415
832.1582000255585,20,-0.319975
873.7606301307678,21,-0.30590698
915.3659000396729,22,-0.28628814
956.9606981277466,23,-0.30050114
998.71737408638,24,-0.27646068
1040.3491699695587,25,-0.29015854
1081.9886269569397,26,-0.32840964
1123.6701891422272,27,-0.35636026
1165.3165500164032,28,-0.3514967
1207.104434967041,29,-0.3471464
1248.7647631168365,30,-0.4277093
1290.5001361370087,31,-0.39978746
1332.2082681655884,32,-0.45563722
1373.8257820606232,33,-0.56736493
1415.4542679786682,34,-0.5558854
1457.11403298378,35,-0.56108415
1498.8169281482697,36,-0.6867057
1540.491681098938,37,-0.69432396
1582.1559810638428,38,-0.7761867
1623.7946619987488,39,-0.7794612
1665.5019550323486,40,-0.927045
1707.1851840019226,41,-1.2404182
1748.8562259674072,42,-1.582954
1790.5114459991455,43,-1.9745796
1832.1720690727234,44,-2.6961956
1873.8882310390472,45,-4.116934
1915.7001149654388,46,-11.724325
1957.479112148285,47,-652.4165
1999.3485760688782,48,-9501.254
2041.1365189552307,49,-36708.26
2082.935574054718,50,-101561.94
2124.720587015152,51,-247209.98
2166.4930069446564,52,-473020.97
2208.2397241592407,53,-814875.6
2250.05450296402,54,-1.3056488e6
2291.8170750141144,55,-1.9586816e6
2333.4969861507416,56,-2.7966442e6
2375.3276150226593,57,-3.7562945e6
2417.1353709697723,58,-5.063328e6
2458.976560115814,59,-6.8136085e6
2500.8294031620026,60,-8.979147e6
2542.5337800979614,61,-1.1805226e7
2584.294267177582,62,-1.474757e7
2626.0578141212463,63,-1.8274448e7
2667.8454310894012,64,-2.2716254e7
2709.4641370773315,65,-2.7550256e7
2751.2252690792084,66,-3.3691284e7
2793.136721134186,67,-4.0779468e7
2834.818242073059,68,-4.8849148e7
2876.5690100193024,69,-5.8421144e7
2918.3350789546967,70,-6.936303e7
2960.0585839748383,71,-8.029558e7
3001.7637531757355,72,-9.237815e7
3043.4329211711884,73,-1.0718311e8
3085.0613000392914,74,-1.2260874e8
3126.7282531261444,75,-1.440699e8
3168.483840942383,76,-1.6376859e8
3210.202435016632,77,-1.8576434e8
3251.9081399440765,78,-2.1345165e8
3293.5761680603027,79,-2.3789994e8
3335.204549074173,80,-2.6897552e8
3376.828761100769,81,-2.954556e8
3418.5224480628967,82,-3.3525786e8
3460.0832290649414,83,-3.798344e8
3501.7446479797363,84,-4.0126803e8
3543.4495701789856,85,-4.325439e8
3585.1642560958862,86,-4.85729e8
3626.897513151169,87,-4.9347875e8
3668.534315109253,88,-5.3480275e8
3710.272250175476,89,-5.882579e8
3751.8729259967804,90,-6.521817e8
3793.60050201416,91,-6.864983e8
3835.21559715271,92,-7.6800026e8
3876.8387031555176,93,-8.420868e8
3918.392241001129,94,-9.472821e8
3959.9734420776367,95,-1.0131353e9
4001.5171439647675,96,-1.05951955e9
4043.1242439746857,97,-1.1042826e9
4084.792289018631,98,-1.1633084e9
4126.464418172836,99,-1.296938e9
4168.158000946045,100,-1.3902054e9
