Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
12.058609008789062,0,16.097406,0.09440021961927414,1
2362.100508928299,1,3185.21,0.09743794426321983,1
4711.3279020786285,2,2225.7522,0.09577033296227455,1
7062.605281114578,3,2037.2516,0.10145702585577965,1
9409.474930047989,4,1958.4371,0.10011627525091171,0
11752.748110055923,5,1944.8131,0.09659295529127121,1
14084.81393289566,6,1939.2911,0.09843537211418152,0
16419.355659008026,7,1977.6106,0.1034054271876812,0
18750.711410999298,8,2040.5819,0.10381144657731056,0
21084.56500697136,9,2073.464,0.10082992911338806,0
23415.91026210785,10,2106.4114,0.0978706032037735,0
25744.71048808098,11,2084.3645,0.0914524532854557,0
28075.93532204628,12,2067.3892,0.0977710671722889,0
30405.935535907745,13,2070.3574,0.09424366429448128,0
32743.35689496994,14,2051.995,0.09324362501502037,1
35072.299067020416,15,2075.1826,0.09512173756957054,0
37399.44628190994,16,2051.9775,0.09669817239046097,0
39726.18693590164,17,2070.4507,0.09949178248643875,0
42052.22339510918,18,2099.4707,0.09615733474493027,0
44378.58470392227,19,2094.8208,0.08946570754051208,0
46703.956891059875,20,2078.8774,0.09299630299210548,0
49028.620817899704,21,2092.7615,0.10140465945005417,0
51353.14171099663,22,2106.8066,0.09549861028790474,0
53677.13423204422,23,2101.1785,0.09670631214976311,0
56001.30730009079,24,2119.5366,0.09127570688724518,0
58325.84138607979,25,2159.9517,0.09900299087166786,0
60651.03937101364,26,2223.7915,0.09824490919709206,0
62976.13176894188,27,2442.4932,0.09419823437929153,0
65299.54926991463,28,2314.8765,0.09172095358371735,0
67622.52537107468,29,2212.3857,0.09489341080188751,0
69945.71018695831,30,2191.2905,0.08954989910125732,0
