Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.122654914855957,0,74.03636,7.875414943695068,1
14.865193128585815,1,7253.099,7.706802558898926,0
28.74373507499695,2,7312.376,7.670354795455933,1
43.158782958984375,3,7268.242,7.715734195709229,1
57.661137104034424,4,7179.6265,7.683375215530395,0
72.10850405693054,5,7231.318,7.65578339099884,1
86.62093997001648,6,7184.9795,7.670160269737243,0
101.06897807121277,7,7119.63,7.673016238212585,1
115.77607703208923,8,7118.4766,7.684565711021423,0
130.61552500724792,9,7073.499,7.670419526100159,0
145.17319011688232,10,7078.3438,7.682612872123718,0
159.6511869430542,11,7099.743,7.675531888008118,1
174.35216307640076,12,7025.392,7.691564989089966,0
188.9629349708557,13,6999.893,7.718469214439392,0
203.49225497245789,14,7131.203,7.702433228492737,0
218.04260802268982,15,6985.807,7.703414940834046,0
232.60105800628662,16,7068.3506,7.681897473335266,0
247.06323909759521,17,7044.3203,7.705683946609497,0
261.49342107772827,18,6980.843,7.69251549243927,0
276.260705947876,19,7101.3423,7.668311643600464,0
290.9300320148468,20,6990.6304,7.697564268112183,0
