Time (s),Epoch,Train Loss
16.62766695022583,1,-0.116915196
33.000290870666504,2,-0.1998477
49.35014986991882,3,-0.24990566
65.73655295372009,4,-0.26103503
82.10917687416077,5,-0.2985128
98.46953392028809,6,-0.23783083
114.80627989768982,7,-0.27287367
131.13773798942566,8,-0.27448276
147.49451684951782,9,-0.29457235
163.80651378631592,10,-0.30752185
181.09989595413208,11,-0.30243123
197.41038393974304,12,-0.35531625
213.70778799057007,13,-0.29863518
230.03783297538757,14,-0.3502115
246.33689999580383,15,-0.38746068
262.6098289489746,16,-0.39375645
278.9177529811859,17,-0.38381013
295.2179579734802,18,-0.48445398
311.54466581344604,19,-0.57796204
327.84005880355835,20,-0.6196833
344.1984829902649,21,-0.74358445
360.5620629787445,22,-0.93014
376.89507699012756,23,-1.2257257
393.1997787952423,24,-1.8147427
409.5149419307709,25,-2.614756
425.80204701423645,26,-4.345717
442.0988118648529,27,-8.98525
458.438679933548,28,-389.74054
474.7675898075104,29,-16172.315
491.0864498615265,30,-94070.7
507.4186098575592,31,-281658.03
523.7606129646301,32,-655019.25
540.0880558490753,33,-1.3415076e6
556.4106659889221,34,-2.47804e6
572.6985847949982,35,-4.1777212e6
589.0122427940369,36,-6.229762e6
605.3147029876709,37,-9.549788e6
621.5671238899231,38,-1.3939046e7
637.842423915863,39,-1.965771e7
654.1308968067169,40,-2.8714954e7
670.42835688591,41,-3.6843056e7
686.717346906662,42,-4.8419856e7
703.0234849452972,43,-6.427434e7
719.3484148979187,44,-8.509949e7
735.6538228988647,45,-1.1711459e8
751.9681689739227,46,-1.5616664e8
768.2994577884674,47,-1.9888067e8
784.6133148670197,48,-2.4648837e8
800.9429199695587,49,-3.0275485e8
817.2371289730072,50,-3.6945888e8
833.5338099002838,51,-4.4776346e8
849.7740910053253,52,-5.3738886e8
866.0182328224182,53,-6.375979e8
882.3497579097748,54,-7.5041286e8
898.6931109428406,55,-8.81614e8
915.0312478542328,56,-1.0270367e9
931.3772368431091,57,-1.1872436e9
947.7278428077698,58,-1.3441329e9
964.0059118270874,59,-1.5429018e9
980.4718618392944,60,-1.789887e9
996.905681848526,61,-2.0295428e9
1013.0760869979858,62,-2.305665e9
1029.2474529743195,63,-2.610868e9
1045.4625029563904,64,-2.949195e9
1061.7008538246155,65,-3.3282327e9
1078.1439909934998,66,-3.7526436e9
1094.5774397850037,67,-4.2353434e9
1110.9580810070038,68,-4.7684475e9
1127.250923871994,69,-5.3284076e9
1143.6249418258667,70,-5.9802404e9
1160.0294167995453,71,-6.6595763e9
1176.3981688022614,72,-7.36906e9
1192.7490339279175,73,-8.055913e9
1209.0902409553528,74,-8.951708e9
1225.3751800060272,75,-9.903258e9
1241.6585438251495,76,-1.0946022e10
1257.9683899879456,77,-1.2028457e10
1274.2894477844238,78,-1.3252081e10
1290.6081788539886,79,-1.4489392e10
1306.927803993225,80,-1.59796e10
1323.2556509971619,81,-1.7452409e10
1339.571133852005,82,-1.907309e10
1355.878245830536,83,-2.08315e10
1372.187421798706,84,-2.2645991e10
1388.4843049049377,85,-2.4519397e10
1404.7893648147583,86,-2.6763987e10
1421.1081578731537,87,-2.8904342e10
1437.4079089164734,88,-3.1361923e10
1453.7155258655548,89,-3.3954111e10
1470.0224978923798,90,-3.659577e10
1486.412652015686,91,-3.9657505e10
1502.789244890213,92,-4.2742526e10
1519.1557579040527,93,-4.5952725e10
1535.468446969986,94,-4.9916228e10
1551.7944388389587,95,-5.3783593e10
1568.1396977901459,96,-5.795683e10
1584.4321959018707,97,-6.1846036e10
1600.7635788917542,98,-6.6672886e10
1617.0290517807007,99,-7.121139e10
1633.3389749526978,100,-7.632904e10
