Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
2.364898920059204,0,16.094828,0.09441349655389786,1
364.5381050109863,1,2819.4229,0.11701454594731331,1
727.7092618942261,2,1903.0659,0.10105191916227341,1
1091.5747010707855,3,1540.9287,0.12017472833395004,1
1454.0723679065704,4,1371.8884,0.12737905234098434,0
1817.531830072403,5,1327.8461,0.11462293937802315,1
2180.7368879318237,6,1268.835,0.11920283734798431,0
2543.743668079376,7,1249.8596,0.12117466703057289,0
2906.630886077881,8,1221.5682,0.12654795870184898,0
3269.3304500579834,9,1195.9285,0.12597796320915222,0
3632.2227771282196,10,1195.8011,0.11575580388307571,0
3996.2351529598236,11,1175.4546,0.12669631838798523,0
4358.926089048386,12,1169.5369,0.13515569269657135,0
4721.001293897629,13,1184.2147,0.1220565140247345,0
5083.723376989365,14,1170.6342,0.11595283076167107,1
5445.74436712265,15,1177.6625,0.10834545269608498,0
5807.663182973862,16,1183.066,0.10892067477107048,0
6169.2764439582825,17,1147.0879,0.12906917929649353,0
6530.91644692421,18,1169.0624,0.11657784879207611,0
6892.878945112228,19,1135.7445,0.10964541137218475,0
7254.912110090256,20,1121.4886,0.12031770870089531,0
7616.688872098923,21,1133.3141,0.10962524637579918,0
7979.126953125,22,1137.9099,0.10900013148784637,0
8341.161580085754,23,1119.6061,0.11602972075343132,0
8702.823163986206,24,1116.9814,0.11758925020694733,0
9064.17394399643,25,1112.3369,0.11524617299437523,0
9425.799299001694,26,1105.3453,0.1183786690235138,0
9787.280481100082,27,1104.8087,0.10668152943253517,0
10148.79942893982,28,1095.1644,0.11474691703915596,0
10510.30855512619,29,1100.1771,0.11579544097185135,0
10871.583477020264,30,1097.0603,0.11065559461712837,0
11232.842714071274,31,1094.0989,0.12377255782485008,0
11593.606817007065,32,1088.6873,0.11437846720218658,0
11953.944538116455,33,1085.6279,0.10932869091629982,0
12314.35678100586,34,1087.9536,0.11365313082933426,0
12674.922631978989,35,1083.9895,0.1108914203941822,0
13035.02838897705,36,1084.5496,0.11564603075385094,0
13395.555718898773,37,1072.9313,0.11148520931601524,0
13755.460997104645,38,1074.6208,0.10775840654969215,0
14115.754851102829,39,1075.5385,0.1147415079176426,0
14475.865907907486,40,1074.9978,0.1218821182847023,0
14836.136819124222,41,1077.8499,0.11501657217741013,0
15196.872210025787,42,1075.4728,0.10957913100719452,0
15557.447730064392,43,1076.5522,0.11344777047634125,0
15918.12004995346,44,1067.0746,0.11205548420548439,0
16279.057435035706,45,1069.5186,0.11850595101714134,0
16639.977767944336,46,1071.9729,0.11018144339323044,0
17001.297189950943,47,1068.7056,0.11990215256810188,0
17362.553239107132,48,1066.0774,0.11384287476539612,0
17723.744879961014,49,1058.2131,0.10587027296423912,0
18084.80860209465,50,1057.5072,0.11644819751381874,0
18446.084901094437,51,1050.9496,0.11741188913583755,0
18806.966314077377,52,1052.0836,0.1183200404047966,0
19167.72830104828,53,1043.2972,0.11484994739294052,0
19528.514205932617,54,1034.5039,0.11216023191809654,0
19889.500025987625,55,1027.5696,0.1107671745121479,0
20250.399607896805,56,1019.84686,0.1166648268699646,0
20611.188754081726,57,1010.0877,0.11285624653100967,0
20971.792860984802,58,995.93964,0.11364268139004707,0
21332.647367954254,59,988.29456,0.11181923747062683,0
21693.62209701538,60,981.3164,0.113835409283638,0
22054.583202123642,61,969.31537,0.11474861204624176,0
22415.64273095131,62,951.7481,0.11993513628840446,0
22776.580898046494,63,939.2381,0.11577500030398369,0
23137.58148908615,64,921.76794,0.11110671609640121,0
23498.76499891281,65,912.89014,0.11152972653508186,0
23859.580085992813,66,896.5301,0.11107015982270241,0
24220.241540908813,67,881.6996,0.11149575933814049,0
24580.970937013626,68,861.8711,0.1112205944955349,0
24941.636063098907,69,847.66876,0.1092747263610363,0
25302.721369981766,70,829.48346,0.1082417257130146,0
25664.370078086853,71,810.51086,0.11130742728710175,0
26025.362678050995,72,788.4902,0.1136472187936306,0
26386.323834896088,73,769.76666,0.10756643116474152,0
26747.050895929337,74,746.497,0.10334933176636696,0
27108.545991897583,75,725.29517,0.11297345906496048,0
27469.315659999847,76,698.9249,0.11106517910957336,0
27829.677534103394,77,682.72296,0.1133091151714325,0
28190.58391404152,78,662.43787,0.10817711800336838,0
28551.66614508629,79,632.66,0.11412542685866356,0
28912.287082910538,80,618.7155,0.11222092062234879,0
29273.047024965286,81,598.6531,0.11697614938020706,0
29633.94363093376,82,567.9995,0.11209877580404282,0
29994.225850105286,83,544.64343,0.12283797189593315,0
30354.697240114212,84,514.0711,0.11148776859045029,0
30715.00536608696,85,486.9596,0.11128515750169754,0
31075.320698022842,86,460.1526,0.10768468677997589,0
31435.588365077972,87,432.17114,0.11627346649765968,0
31795.951456069946,88,409.25095,0.11554214358329773,0
32156.28216791153,89,375.12357,0.11556164920330048,0
32516.648531913757,90,358.7318,0.1158246137201786,0
32877.07841706276,91,328.4109,0.11050401255488396,0
33237.126652002335,92,297.17352,0.1103237122297287,0
33597.28620100021,93,272.59552,0.11466693133115768,0
33957.24296212196,94,246.7287,0.11126216128468513,0
34317.365245103836,95,216.48248,0.111148651689291,0
34677.762124061584,96,195.70627,0.11574321612715721,0
35037.42032504082,97,172.8044,0.1087711863219738,0
35397.82615303993,98,138.3708,0.11709649860858917,0
35757.821681022644,99,125.85093,0.11162746697664261,0
36117.70471596718,100,96.1102,0.11746426671743393,0
