Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
7.070189952850342,0,2.7209885,0.06264601461589336,1
1382.687399148941,1,638.72284,0.0777277797460556,1
2762.8137290477753,2,545.6545,0.0898255780339241,1
4144.291810035706,3,522.35785,0.08506179973483086,1
5523.959577083588,4,516.4582,0.08653507381677628,0
6906.410293102264,5,514.4682,0.08254728838801384,1
8286.88642001152,6,511.29858,0.09725656732916832,0
9667.661329984665,7,510.2274,0.08704589679837227,0
11038.97055196762,8,507.6305,0.08268957957625389,0
12408.37800002098,9,507.65207,0.08882813528180122,0
13775.452466964722,10,505.88583,0.08035406470298767,0
15145.471353054047,11,504.5455,0.0847034677863121,0
16516.3250041008,12,504.31055,0.08692046999931335,0
17885.724409103394,13,504.4895,0.08280393481254578,0
19257.229110002518,14,502.19318,0.08826365321874619,1
20625.184199094772,15,500.72876,0.08529644459486008,0
21993.49769306183,16,499.7049,0.08489325270056725,0
23361.94215798378,17,500.91632,0.08270160481333733,0
24730.250298023224,18,498.51813,0.08722679689526558,0
26098.26268196106,19,499.49124,0.08084062859416008,0
27465.44251513481,20,498.71594,0.0844763033092022,0
28832.339110136032,21,498.20245,0.08638224378228188,0
30204.49289703369,22,498.582,0.08229032158851624,0
31576.73943209648,23,497.92282,0.08596285432577133,0
32943.648211956024,24,498.01892,0.08170226588845253,0
34309.02188897133,25,496.82028,0.08239142969250679,0
35673.89066195488,26,496.9275,0.08449043706059456,0
37037.638581991196,27,496.04126,0.07910754531621933,0
38401.59425497055,28,496.12808,0.08720500394701958,0
39764.75015616417,29,495.37952,0.08423808962106705,0
41127.62909603119,30,495.63016,0.08465852215886116,0
42489.90004301071,31,495.5682,0.08103310689330101,0
43852.429209947586,32,494.0339,0.08095162361860275,0
45214.374068021774,33,494.26837,0.08353729546070099,0
46578.45529603958,34,495.32352,0.08700647577643394,0
47940.02439212799,35,493.08484,0.08458129316568375,0
49301.65434908867,36,494.61472,0.08443418517708778,0
50662.406280994415,37,493.5573,0.08335220813751221,0
52022.97453713417,38,492.5359,0.08572035655379295,0
53384.0875620842,39,492.73245,0.08094808086752892,0
54744.457666158676,40,492.76917,0.08272573351860046,0
56104.88144803047,41,492.4675,0.08268062025308609,0
57465.09837913513,42,491.38364,0.08245338499546051,0
58824.861859083176,43,492.0204,0.08064702153205872,0
60184.61644697189,44,492.03137,0.08514164015650749,0
61544.47180604935,45,492.24063,0.07976089417934418,0
62904.57477116585,46,491.43298,0.086346834897995,0
64265.97433209419,47,491.3174,0.08066315948963165,0
65626.30604600906,48,491.73337,0.07981471717357635,0
66987.13121199608,49,491.40207,0.08194400742650032,0
68347.03745317459,50,490.85822,0.0836818739771843,0
69707.64353299141,51,491.1203,0.0808265469968319,0
71068.19250106812,52,490.3087,0.07931795343756676,0
72429.53815507889,53,490.71844,0.0892736092209816,0
73790.12769603729,54,490.04883,0.08397191017866135,0
75152.0142300129,55,489.77536,0.08443057537078857,0
76514.76653409004,56,489.65405,0.0816592201590538,0
77876.63384914398,57,490.0949,0.08096525073051453,0
79239.51255917549,58,490.04645,0.084927037358284,0
80602.12080717087,59,490.0191,0.08646225184202194,0
81964.83324503899,60,490.68997,0.08844997733831406,0
83328.09208798409,61,490.5587,0.08180520683526993,0
84691.16148614883,62,490.18655,0.07807251065969467,0
86053.8610830307,63,490.2765,0.08047009259462357,0
87420.05384206772,64,490.3696,0.07847807183861732,0
88785.21109104156,65,490.41418,0.08016267418861389,0
90149.74840211868,66,491.94516,0.08360832184553146,0
91515.11520504951,67,491.32376,0.08436872065067291,0
92881.85508418083,68,491.1904,0.08375219255685806,0
94248.41851496696,69,491.40955,0.08164408430457115,0
95614.80792999268,70,491.6596,0.08203726634383202,0
96981.62594413757,71,491.37497,0.08212840557098389,0
98348.35974907875,72,491.77087,0.0859142616391182,0
99714.6069791317,73,491.78436,0.0799868293106556,0
101080.52862906456,74,491.18262,0.08130529522895813,0
102446.45203304291,75,492.49243,0.07989830896258354,0
103812.73579716682,76,492.45764,0.07755446434020996,0
105178.73095011711,77,491.95016,0.07967252284288406,0
106543.38651394844,78,491.62265,0.08684779703617096,0
107908.22607398033,79,492.63654,0.0800107941031456,0
109272.4011130333,80,492.8006,0.08324767649173737,0
110635.85456204414,81,492.6822,0.07907722517848015,0
111999.93365907669,82,492.5848,0.08253872394561768,0
113363.71489715576,83,493.50934,0.08211635053157806,0
114726.40723609924,84,493.23492,0.07836141809821129,0
116089.7899980545,85,493.20255,0.07664022594690323,0
117451.33086514473,86,493.46344,0.08617796003818512,0
118812.56715011597,87,494.09488,0.08304832503199577,0
120173.44078707695,88,493.5018,0.07265426963567734,0
121533.96341395378,89,493.7,0.08035453781485558,0
122893.59912514687,90,494.722,0.07732177898287773,0
124252.68677997589,91,495.41266,0.0769873708486557,0
125611.88014411926,92,494.6787,0.08016062155365944,0
126971.19276094437,93,495.1236,0.07518650591373444,0
128329.7283320427,94,495.38882,0.08163093775510788,0
129688.43412613869,95,494.55383,0.07967663556337357,0
131047.1187479496,96,494.44632,0.07581211254000664,0
132406.28155207634,97,494.33524,0.0840187519788742,0
133764.81747817993,98,495.2871,0.0747254490852356,0
135123.27077507973,99,493.94754,0.07831445336341858,0
136482.17318606377,100,495.11282,0.07450495660305023,0
