Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.087406873703003,0,2.0098627,0.03787151351571083,1
104.56252408027649,1,309.45206,0.07492287084460258,1
210.55406308174133,2,183.62149,0.060325250029563904,0
316.42576789855957,3,169.46242,0.05768371373414993,0
422.94817996025085,4,160.6252,0.05842147581279278,1
529.5598239898682,5,155.7323,0.059489306062459946,0
636.3092019557953,6,152.26927,0.057016024366021156,0
743.4998030662537,7,151.36578,0.05277816206216812,0
850.5226550102234,8,151.3014,0.06039809808135033,0
957.6813399791718,9,150.04225,0.052569370716810226,0
1064.7056159973145,10,148.25626,0.05284230411052704,0
1172.6267790794373,11,148.08316,0.0598245020955801,0
1279.6297900676727,12,148.41469,0.06114391051232815,0
1386.7931940555573,13,145.46858,0.059904636815190315,0
1494.1083641052246,14,146.83289,0.05863407999277115,0
1601.0720438957214,15,146.19868,0.0591969545930624,0
1708.0901100635529,16,147.45552,0.061673494055867195,0
1815.0886099338531,17,147.00153,0.05538349039852619,0
1922.49799990654,18,146.09418,0.06530096009373665,0
2029.5474359989166,19,144.13014,0.05305328778922558,0
2136.7668240070343,20,145.15196,0.052445901557803154,0
2244.149410009384,21,147.51721,0.05674497038125992,0
2351.398787021637,22,148.75623,0.05303369648754597,0
2458.3146228790283,23,147.336,0.05939949303865433,0
2565.52508187294,24,147.36397,0.05228845402598381,0
2672.938777923584,25,148.19078,0.05681423656642437,0
2780.0363578796387,26,150.25337,0.0542534776031971,0
2886.928726911545,27,148.44853,0.056250179186463356,0
2994.077868938446,28,148.93651,0.05246751010417938,0
3101.276767015457,29,145.8846,0.05691804736852646,0
3208.229835987091,30,146.40347,0.06259278953075409,0
3315.1037900447845,31,145.60686,0.05483292602002621,0
3422.118630886078,32,146.94183,0.059269653633236885,0
3528.9075179100037,33,146.66695,0.05091528408229351,0
3636.1085200309753,34,145.48175,0.057469090446829796,0
3742.9140470027924,35,147.06317,0.06007310189306736,0
3849.679946899414,36,148.06395,0.051115190610289574,0
3956.6815099716187,37,147.55334,0.053216276690363884,0
4063.755173921585,38,146.97896,0.06309156306087971,0
4170.902546882629,39,147.11243,0.05532360263168812,0
4277.777102947235,40,146.1909,0.05761805176734924,0
4384.85947394371,41,146.12617,0.05540738254785538,0
4491.746083974838,42,149.83122,0.053484559059143066,0
4598.769354104996,43,149.09874,0.05876423791050911,0
4705.838166952133,44,144.40059,0.058959901332855225,0
4813.067792892456,45,148.8206,0.054859718307852745,0
4920.247760057449,46,146.86948,0.05266178399324417,0
5027.347335100174,47,147.68726,0.058347320184111595,0
5134.589878082275,48,147.02151,0.05998437851667404,0
5241.47939491272,49,149.04324,0.055035512894392014,0
5348.613131046295,50,148.25389,0.06176860071718693,0
5455.870583057404,51,147.4003,0.052052950486540794,0
5563.09502696991,52,146.84454,0.061639996245503426,0
5670.36524105072,53,149.33023,0.052361736074090004,0
5777.569655895233,54,149.40836,0.06012854166328907,0
5884.5504829883575,55,144.00294,0.0580470934510231,0
5991.6729209423065,56,145.76184,0.057681385427713394,0
6098.717691898346,57,145.55652,0.06467295810580254,0
6205.8547439575195,58,146.92204,0.05720650218427181,0
6312.875720977783,59,144.64406,0.052289361134171486,0
6420.112067937851,60,145.80156,0.05885804817080498,0
6527.237317085266,61,142.79095,0.061812588945031166,0
6634.275480031967,62,140.10307,0.0601925253868103,0
6741.218538045883,63,142.85931,0.0570050161331892,0
6848.266663074493,64,145.22499,0.049210477620363235,0
6955.108644962311,65,143.39093,0.056823693215847015,0
7062.455827951431,66,143.10301,0.05155458673834801,0
7169.448087930679,67,144.20392,0.0572615060955286,0
7276.751483917236,68,143.98361,0.053519729524850845,0
7383.77628493309,69,142.09277,0.0555194653570652,0
7491.0267589092255,70,134.88768,0.05525529943406582,0
7598.071886062622,71,132.46887,0.055135587230324745,0
7705.239865064621,72,130.21107,0.056785374879837036,0
7812.189483880997,73,131.54784,0.0517796128988266,0
7919.524708032608,74,131.10712,0.054888274520635605,0
8026.447904109955,75,121.6293,0.05340880900621414,0
8133.54673910141,76,122.47519,0.05847489461302757,0
8240.669262886047,77,119.37201,0.054322389885783195,0
8348.085308074951,78,114.20654,0.05350414477288723,0
8455.255280017853,79,106.8334,0.05445638857781887,0
8562.304630041122,80,98.66734,0.04991678521037102,0
8669.387018918991,81,90.38237,0.05478596314787865,0
8776.349685907364,82,83.629105,0.054580727592110634,0
8883.352241039276,83,76.97133,0.05172388628125191,0
8990.174233913422,84,66.57482,0.05696728453040123,0
9097.323843955994,85,57.445194,0.05491472966969013,0
9204.294300079346,86,49.899467,0.053176481276750565,0
9311.033694982529,87,36.78665,0.04938643425703049,0
9417.901319980621,88,24.523872,0.05425292253494263,0
9524.767731904984,89,10.87768,0.054135970771312714,0
9631.852715969086,90,-1.6478515,0.055315013974905014,0
9738.818321943283,91,-18.879038,0.058373838663101196,0
9845.62714791298,92,-31.449041,0.05654749646782875,0
9952.370507001877,93,-51.015938,0.050831789150834084,0
10059.308204889297,94,-66.635574,0.05274207703769207,0
10166.33485507965,95,-90.79739,0.0555535051971674,0
10273.433666944504,96,-109.24337,0.05653691664338112,0
10380.448571920395,97,-128.58925,0.05532425828278065,0
10487.641830921173,98,-149.22845,0.05627080425620079,0
10595.36739897728,99,-170.29312,0.057083984836936,0
10702.408727884293,100,-192.8379,0.05402997136116028,0
