Time (s),Epoch,Train Loss
16.12968611717224,1,0.36419404
31.867788076400757,2,0.14021207
47.52156400680542,3,0.10464824
63.18192911148071,4,0.085548095
78.93222999572754,5,0.073621914
94.64593315124512,6,0.06417571
110.37255692481995,7,0.05773188
126.08054900169373,8,0.05295878
141.79349493980408,9,0.049603
157.4545841217041,10,0.0468352
201.33789992332458,11,0.043640986
217.17648911476135,12,0.043483734
232.97790598869324,13,0.04205542
248.86066102981567,14,0.039858058
264.55977392196655,15,0.039374284
280.37968492507935,16,0.03953944
296.2112491130829,17,0.038025185
311.95656514167786,18,0.037736323
327.77112913131714,19,0.037272014
343.57937693595886,20,0.037501737
386.6039021015167,21,0.037178442
402.49832010269165,22,0.037016157
418.4160330295563,23,0.036618263
434.3384439945221,24,0.03549143
450.2454090118408,25,0.035341457
466.162367105484,26,0.035105146
482.07260394096375,27,0.034876738
497.94398307800293,28,0.035274275
513.8358399868011,29,0.035152465
529.6964960098267,30,0.033872128
572.8175230026245,31,0.033936348
588.6834659576416,32,0.03436557
604.5574910640717,33,0.03357919
620.3824670314789,34,0.03301848
636.1885321140289,35,0.033444077
652.0136799812317,36,0.03339039
667.8896939754486,37,0.033646185
683.7711651325226,38,0.033568442
699.6048390865326,39,0.033090945
715.3861410617828,40,0.032998063
758.2145199775696,41,0.03238473
773.9378590583801,42,0.032685388
789.6194689273834,43,0.032163158
805.2702031135559,44,0.03252981
820.9748980998993,45,0.03246188
836.6919441223145,46,0.03257021
852.4004719257355,47,0.032328997
868.1037640571594,48,0.032460283
883.8094511032104,49,0.03092342
899.5283761024475,50,0.03199676
942.8673980236053,51,0.031767126
958.5534701347351,52,0.031914953
974.2294001579285,53,0.031494036
989.95738697052,54,0.03143961
1005.6008479595184,55,0.031366087
1021.2204160690308,56,0.031006975
1036.8284759521484,57,0.03141156
1052.451565027237,58,0.031823255
1068.1049840450287,59,0.030813828
1083.7503769397736,60,0.030954855
1126.6482319831848,61,0.030579496
1142.312518119812,62,0.031173402
1157.982722043991,63,0.030991089
1173.6649460792542,64,0.030396076
1189.3347699642181,65,0.031060543
1205.0220320224762,66,0.031119175
1220.6597740650177,67,0.031311143
1236.2577090263367,68,0.030586785
1251.817971944809,69,0.03065216
1267.4125130176544,70,0.030222865
1310.2597150802612,71,0.030365136
1325.8955130577087,72,0.030579545
1341.5300951004028,73,0.029951008
1357.1965770721436,74,0.030496681
1372.8293809890747,75,0.029413933
1388.4736161231995,76,0.030115793
1404.1278550624847,77,0.02952148
1419.8002240657806,78,0.029909229
1435.4730169773102,79,0.029929206
1451.1395630836487,80,0.029923977
1494.0547559261322,81,0.030033829
1509.7943890094757,82,0.03045381
1525.4819021224976,83,0.03044522
1541.138946056366,84,0.030297337
1556.7886459827423,85,0.029373184
1572.4470989704132,86,0.029129464
1588.1275219917297,87,0.03016226
1603.8657231330872,88,0.029051492
1619.5241770744324,89,0.030137565
1635.189563035965,90,0.029008422
1678.1623010635376,91,0.0297052
1693.8627030849457,92,0.029292293
1709.5535349845886,93,0.030051181
1725.244714975357,94,0.029393245
1740.992427110672,95,0.029462898
1756.700912952423,96,0.029701542
1772.3963479995728,97,0.029939199
1788.0936961174011,98,0.029188082
1803.737517118454,99,0.0291715
1819.4181289672852,100,0.02847857
